baitID	intscore	rank	SIP	MKSpecific
218	25.4329063090307	5313	0	0
220	8.35859709196577	2112	0	0
223	6.02168184052254	1283	0	0
225	6.29701805407453	1475	0	0
228	7.68459194729456	1999	0	0
234	12.9829909923708	3287	0	0
239	22.7802611381038	4969	0	0
246	13.1315164434643	3325	0	0
247	19.3942912462988	4457	0	0
248	49.8096809441121	7801	0	0
250	44.8289050673592	7396	0	0
254	160.898433486923	11745	0	0
255	7.55137621654386	1961	0	0
257	41.786001372772	7163	0	0
263	17.6571133485406	4128	0	0
291	8.47980655012606	2134	0	0
297	5.41373474360465	662	0	0
298	5.33799756736809	558	0	0
311	110.506236813424	10614	0	0
320	5.72128150773039	1031	0	0
338	19.6566444411653	4514	0	0
356	19.6418514305549	4509	0	0
361	22.0848212851937	4865	0	0
383	36.0938063716764	6582	0	0
390	34.2005065237082	6352	0	0
395	113.962776845762	10710	0	0
418	149.109579604866	11541	0	0
425	51.3332797514666	7895	0	0
428	33.3904197907929	6266	0	0
430	13.4365472613642	3389	0	0
432	11.5722959455963	2792	0	0
437	22.0522528894513	4856	0	0
441	15.7756286421328	3729	0	0
448	10.9412169960447	2540	0	0
453	59.5719962638639	8440	0	0
487	269.500347116001	13082	1	1
495	282.618418349916	13167	1	1
548	10.2952621695586	2320	0	0
566	7.84275451646624	2033	0	0
570	44.9902442365513	7409	0	0
572	25.0414365353674	5274	0	0
580	5.4268492570606	678	0	0
592	29.4191499278812	5834	0	0
611	31.3066061788313	6048	0	0
1141	9.71742387135383	2259	0	0
1170	50.5742295818536	7839	0	0
1177	163.12870325932	11795	0	0
1182	17.5464351200479	4108	0	0
1184	5.59578147356609	898	0	0
1204	27.5256969939974	5585	0	0
1213	7.15443078314014	1865	0	0
1217	33.9185222173782	6315	0	0
1223	21.4474866860771	4752	0	0
1224	17.2838892478447	4049	0	0
1226	6.95976784129083	1796	0	0
1231	16.6490069226707	3902	0	0
1234	36.7022645852418	6648	0	0
1253	49.9480356086119	7807	0	0
1276	124.124418202297	10979	0	0
1277	96.9135220554578	10163	0	0
1370	310.049561955687	13355	1	1
1404	7.83181488042518	2032	0	0
1481	66.6739321105224	8865	0	0
1485	100.967087662395	10302	0	0
1490	31.8051203786234	6105	0	0
1495	21.366614719536	4740	0	0
1520	10.6604550796721	2425	0	0
1523	22.1643073210358	4876	0	0
1536	116.406825826016	10766	0	0
1602	323.056309331589	13434	1	0
1632	126.466516020987	11037	0	0
1658	71.4536802856037	9130	0	0
1761	22.4413088767278	4916	0	0
1811	5.03519448492301	52	0	0
1829	10.9498396021576	2543	0	0
1839	248.331269932741	12903	0	0
1842	19.9756582003202	4560	0	0
1885	22.4191881867352	4915	0	0
1904	10.8892417790095	2519	0	0
1946	5.32945678710984	545	0	0
1954	24.7898431875326	5238	0	0
1962	16.3169082720311	3824	0	0
1978	40.6764481728676	7063	0	0
2013	20.0427536707928	4570	0	0
2074	6.60462641078618	1646	0	0
2083	17.9436672813417	4183	0	0
2084	5.25483399927723	432	0	0
2140	5.18701803849438	327	0	0
2145	11.7257536357907	2852	0	0
2156	27.9829599271373	5654	0	0
2164	229.829861946351	12718	0	0
2166	136.504415981765	11290	0	0
2181	43.1846295934956	7279	0	0
2185	5.16842179574806	292	0	0
2204	5.06212414657017	101	0	0
2215	5.16724299197047	290	0	0
2217	6.2440791663497	1436	0	0
2227	6.2605670328425	1446	0	0
2234	41.0570122441911	7091	0	0
2317	12.5223987207422	3165	0	0
2331	18.8630464872968	4372	0	0
2335	22.8847102646088	4985	0	0
2341	12.5161775661302	3162	0	0
2345	40.7564839778869	7069	0	0
2349	22.0749095832704	4863	0	0
2351	94.291053119166	10062	0	0
2354	46.8287083443807	7552	0	0
2364	112.663755854886	10667	0	0
2368	66.5202459438017	8853	0	0
2371	111.565212390015	10647	0	0
2376	86.7797804646415	9789	0	0
2386	17.6980933598868	4135	0	0
2414	63.1203405670214	8660	0	0
2497	372.592798826202	13660	1	0
2509	145.213430617936	11470	0	0
2515	316.081384512196	13388	1	0
2518	490.409404515115	13964	1	0
2541	5.11802632554042	215	0	0
2550	5.92703650832061	1204	0	0
2859	12.1626359529714	3034	0	0
2887	35.9106445465936	6561	0	0
2916	5.05746822966075	88	0	0
3280	19.5511243712137	4489	0	0
3282	83.9856466947718	9696	0	0
3293	38.2668856728861	6818	0	0
3315	47.4657305563141	7611	0	0
3317	33.9388498637666	6317	0	0
3329	63.4721256469584	8690	0	0
3343	12.2984144904155	3087	0	0
3344	5.86113802434044	1164	0	0
3352	63.4458871940151	8687	0	0
3362	20.4947263870397	4622	0	0
3367	9.57823167488169	2246	0	0
3389	44.2646265184329	7351	0	0
3396	22.9129043545934	4990	0	0
3397	18.9485959600173	4389	0	0
3398	11.5019595840203	2763	0	0
3412	17.0362424858041	3992	0	0
3428	91.3930375207418	9947	0	0
3447	25.9297562086601	5380	0	0
3448	67.8091384292727	8931	0	0
3450	72.7758781683278	9197	0	0
3456	350.743001061539	13574	1	1
3467	13.493009612779	3402	0	0
3468	9.64196568723716	2251	0	0
3472	160.820080805781	11743	0	0
3475	75.6914220195082	9314	0	0
3476	45.3409447581302	7441	0	0
3479	28.0663991703585	5669	0	0
3480	138.262477625597	11334	0	0
3506	98.2603025644626	10205	0	0
3525	10.5098613910946	2367	0	0
3526	12.0163982287915	2989	0	0
3644	11.8706175831832	2918	0	0
3648	12.9106586956047	3269	0	0
3657	206.352170343165	12468	0	0
3666	463.235954894555	13905	1	0
3683	26.8451803443741	5487	0	0
3690	288.308460200568	13208	1	0
3705	107.012934575941	10504	0	0
3722	78.4572091973362	9450	0	0
3726	10.3614170432874	2334	0	0
3729	74.4837089922401	9262	0	0
3884	11.0492122839666	2593	0	0
3897	5.30493026692655	507	0	0
4051	169.841931904989	11915	0	0
4059	43.4192382248606	7291	0	0
4120	427.956212556483	13828	1	0
4128	60.1980466427626	8477	0	0
4141	20.6088337047456	4637	0	0
4191	404.074998262417	13760	1	0
4196	5.34805952545446	572	0	0
4207	93.8908171079918	10044	0	0
4216	495.177831857366	13974	1	0
4219	297.720761787936	13274	1	0
4276	61.7570502698838	8576	0	0
4288	47.4015544620903	7602	0	0
4327	83.9479478766239	9694	0	0
4330	167.923837549137	11892	0	0
4343	53.1566892228285	8012	0	0
4345	13.7769408313267	3463	0	0
4370	5.04085106426049	60	0	0
4421	244.199683167121	12872	0	0
4422	54.0659428141685	8086	0	0
4450	41.0125392390207	7087	0	0
4466	5.0994112974425	178	0	0
4468	110.436524916831	10610	0	0
4478	5.26071484896126	447	0	0
4492	8.29063205016359	2105	0	0
4528	424.897191275278	13819	1	1
