baitName	baitID	rank	intscore	CT
HIST1H4F	618328	100	757.667347487914	Ery
MYB-AS1	651189	209	587.6728829982	Ery
RNU6-1143P	103020	267	539.925675293383	Ery
CMPK2	333912	315	493.368378536415	Ery
CRISP3	624559	330	484.173742324555	Ery
FMNL2	376035	61	936.403963787144	MacMon
C7orf65	675576	323	520.435792348214	MacMon
OPTC	51179	488	432.420507185723	MacMon
RNU6-101P	172858	512	422.746943132475	MacMon
ARAP2	506991	693	358.836491592601	MacMon
FRY	184670	270	586.376487106764	MK
GOLT1A	51332	362	511.69746134858	MK
ATAD2B	338954	475	449.08301731524	MK
UBXN2A	338954	475	449.08301731524	MK
UBE2Q1	36465	499	439.6398739982	MK
ARHGAP21	71549	578	410.968334519243	MK
BACH2	636904	27	1713.5369889446	nCD4
TRABD2A	357208	58	1457.95543396888	nCD4
CD6	120463	99	1186.95408993604	nCD4
DMXL1	592035	102	1178.76733225834	nCD4
XKR9	727777	112	1139.05416531932	nCD4
C6orf62	617838	58	1191.0728889654	Neu
USP38	540505	84	1048.31152254009	Neu
DOCK8	750561	87	1041.71716889528	Neu
DIEXF	52906	103	976.913250738223	Neu
GAB1	540553	117	927.263844939639	Neu
