baitName	baitID	ENSEMBL_GENEID	baitChr	baitStart	baitEnd	MacMon	MK	nCD4	Ery	Neu
AC007743.1	348527		2	56410512	56417165					
AC008394.1	581851		5	86534776	86538784					
AC016712.1	398296		2	223560426	223564962					
AC087269.1	709705		8	8549756	8562619					
ADCY8	746873	ENSG00000155897	8	132053643	132056079	0.00118078807082017	0.000175985322822154	0.000206604337290416	0.000179453192267907	0.000721176317304405
ADRA1D	404364	ENSG00000171873	20	4223812	4231069	5.37410712622637e-07	2.02983740035593e-07	1.97252242623472e-07	5.75589365654392e-05	6.8576671431767e-07
AL450992.2	35779		1	151812040	151814543					
AP001178.1	297833		18	601101	603702					
APOL6	433740	ENSG00000221963	22	36036753	36045628	17.2233250205365	3.69306489151686	18.4221499482499	9.71619274314653	40.9646802360833
ARAP2	506991	ENSG00000047365	4	36244999	36250603	26.4438752246016	0.242673678215416	20.0383911721302	2.4128505482483	26.03034817743
ARHGAP10	541952	ENSG00000071205	4	148651638	148654092	11.9902989777035	3.65963484706238	1.23962664577436	2.07765291149935	0.0470850488648398
ATP13A4	495260	ENSG00000127249	3	193310436	193312002	0.0552346155459295	4.72216181883688	1.35762366619396	0.406368802424864	0.0440106315579239
AVIL	158496	ENSG00000135407	12	58210700	58212639	0.401036394804445	0.385546183039339	0.948345520208097	0.259631061129182	28.7629292914427
BLK	710559	ENSG00000136573	8	11412169	11420464	0.00884857282495763	0.00418047685227899	0.570600610465238	0.00355645452133131	0.0175643491467799
C15orf48	242719	ENSG00000166920	15	45719061	45723591	27.4742601272742	0.146303610459836	0.139064592737235	0.0888846203068578	1.35974099638942
C1orf111	38491	ENSG00000171722	1	162346428	162349957	0.000226927775128572	0.000132863275872114	0.000139447306696091	0.00114344327597408	0.00048421378320384
C1orf226	38491	ENSG00000239887	1	162346428	162349957	0.23178166589987	1.14492989402646	0.00192518154261367	0.184010740397467	0.143843238948965
C2CD4D	35779	ENSG00000225556	1	151812040	151814543	3.2933955375414e-07	2.10958031494017e-07	0.000945301855337494	2.67711440422344e-07	9.63122259302875e-07
C7orf65	675576	ENSG00000221845	7	47692283	47697190	2.46282374451158e-07	1.38567727153271e-07	2.17763220738957e-07	1.49599195162353e-07	6.19975747563265e-07
