baitName	baitID	ENSEMBL_GENEID	baitChr	baitStart	baitEnd	MacMon	MK	nCD4	Ery	Neu
AASDH	512394	ENSG00000157426	4	57252367	57255776	3.96662309342833	2.43190371846644	6.55944661653469	3.74628187697655	1.27730980586852
ABCD2	153554	ENSG00000173208	12	40010935	40014886	0.00502794303483615	5.27058195575141e-08	10.1259606971661	2.38173523799278e-05	1.99372851243301e-06
AC007879.5	393533		2	208392966	208398769					
AC010468.2	589528		5	110603795	110607566					
AC011747.7	334447		2	8815511	8821098					
AC013264.2	390480		2	198059736	198063912					
AC019201.1	377739		2	158296257	158299768					
AC022210.2	357208		2	85134085	85145948					
AC079610.2	395493		2	214147251	214150607					
AC083862.1	700634		7	134832273	134838721					
AC083949.1	344220		2	42396038	42398533					
AC092846.1	503268		4	24419783	24424102					
AC093602.1	539158		4	139935712	139941193					
AC144449.1	375142		2	150438437	150444007					
AC144521.1	442202		3	18484341	18492607					
ACRBP	143509	ENSG00000111644	12	6749804	6754440	0.925799191706598	27.964617225166	0.687298647234611	1.99015862904744	2.72395121999764
ADIPOQ-AS1	493064	ENSG00000226482	3	186571165	186574227	1.21623929796784e-07	1.08414214536618e-07	1.69069238977021e-07	1.75316778359171e-05	4.54641379780094e-07
AF213884.3	527252		4	103485281	103488948					
AKR1D1P1	40087	ENSG00000227776	1	167485364	167489324	1.54474697845469e-06	4.57263225484197e-07	0.749181195746304	4.59073205107423e-07	1.84611277232633e-06
AL162430.1	11824		1	51650024	51658076					
AL162430.2	11824		1	51650024	51658076					
AL391559.1	636962		6	91154197	91157389					
ALG11	190993	ENSG00000253710	13	52583634	52587063	3.83323704058824	6.45957401631833	4.22876501652672	5.25110666986031	2.78670237423093
ALKBH1	227938	ENSG00000100601	14	78173239	78174605	4.14258326784121	2.33106063900373	3.33608342661579	3.56840546890245	1.97520639150856
ANKRD13C	17565	ENSG00000118454	1	70819945	70824643	9.63374798318615	7.74561368651763	14.2757349904227	9.2063995790241	0.959958738180649
ANKRD17	517655	ENSG00000132466	4	74119805	74128240	13.025486058792	17.9795207464378	15.4196472565307	17.0988951215908	23.6167440018605
ANKRD31	578071	ENSG00000145700	5	74530411	74536305	0.00634968979847003	0.0772493616919244	0.6323866032595	0.0139086246707796	0.00412934324565327
AP000911.1	141400		11	133825146	133827748					
AP000974.1	126664		11	85559533	85566329					
AP2B1	286162	ENSG00000006125	17	33903398	33906837	16.6525424474701	41.716081719565	15.9001531644197	47.5874394182975	27.5968508438124
APBB1	103804	ENSG00000166313	11	6410655	6418631	0.705564329486321	0.287991889857572	42.6527816479798	0.616128119205551	0.281345277225365
ARFIP2	103831	ENSG00000132254	11	6501118	6503638	11.3005544762111	18.9401379995386	12.0924796416544	15.4052575213757	8.08124505854025
ARHGAP5	214176	ENSG00000100852	14	32543465	32547211	8.01230479885276	21.5218788909318	25.0644997438536	12.0857110357669	2.36925423719834
ARHGAP5-AS1	214176	ENSG00000258655	14	32543465	32547211	0.185031581660634	0.59267610522535	0.291736543335071	0.237437190543858	1.88172434243939e-05
ARL4C	401646	ENSG00000188042	2	235397099	235410803	3.55650193715828	0.0293913962274071	61.3756847062331	2.03057468418771	0.148520450062372
ARL5B	69671	ENSG00000165997	10	18947403	18954126	5.80320143979528	16.061632828605	5.97474394294568	7.14958167962815	9.88128883427808
ARL5B-AS1	69671	ENSG00000152487	10	18947403	18954126	0.653546236913979	1.89050257648548	3.01427320724281	0.562232675540355	2.48500711691505
ARL6	465361	ENSG00000113966	3	97480970	97487849	1.20711918503896	1.08092674875132	2.22737829673287	1.12841088742325	0.0465363667787531
ARMC12	620619	ENSG00000157343	6	35694834	35706255	0.0181359464602765	0.181010550481972	0.42106257049573	0.0591758859883866	0.171197343274959
ASB15	697279	ENSG00000146809	7	123206939	123209311	0.00302773005894064	0.0027277542533919	0.00351071254498454	0.00234915133204447	0.011404650730775
ASF1A	645870	ENSG00000111875	6	119214311	119223798	5.6073792856196	13.7328857189227	12.4141877528749	30.4718665168537	0.370475256940417
ATP6V1H	722474	ENSG00000047249	8	54751295	54758890	85.3182566119019	14.3336995095046	13.7826250172204	19.0025626929724	24.0213861583488
ATP7B	190993	ENSG00000123191	13	52583634	52587063	0.21354579249198	1.70632404248716	0.272829319439192	5.07250028370903	1.42477323304396
AURKA	417398	ENSG00000087586	20	54962085	54967538	4.13233616451538	16.6408420909609	0.22424313697983	38.0773207369258	1.5536890980913
AXDND1	43821	ENSG00000162779	1	179327211	179337053	0.146993195179312	0.040703414618481	0.0845319036542338	0.0272120292569421	0.307966039879214
AZI2	445496	ENSG00000163512	3	28387145	28394374	23.5538304695884	15.0083499147488	13.2827339443312	15.9247395836368	21.6757896216067
B3GALT2	48140	ENSG00000162630	1	193155464	193155851	2.8004170969594e-05	0.00935996907180166	0.00724753579788711	0.0439625936327812	0.000288240465513353
B4GALT4	472354	ENSG00000121578	3	118948999	118960427	6.62011975637645	6.48289200069562	8.73261609467256	2.30513409082123	3.42147913115549
