baitName	baitID	ENSEMBL_GENEID	baitChr	baitStart	baitEnd	MacMon	MK	nCD4	Ery	Neu
ABCA10	294576	ENSG00000154263	17	67240575	67245534	0.194644430563174	0.12719423397873	0.817579013863057	0.125814566390504	0.705635692618945
ABCA5	294576	ENSG00000154265	17	67240575	67245534	3.67132742628585	5.73791960916359	13.4499614807927	3.68882820739606	10.5642983669104
ABCB10	58705	ENSG00000135776	1	229692817	229697283	10.7836814589107	7.94095364026601	5.47855424453429	63.5269260717778	0.952094303506566
ABI1	72175	ENSG00000136754	10	27148168	27151789	46.5789118974171	53.4480439298573	26.1344663286776	15.5534713032643	90.8342077564748
AC003986.7	667081		7	19154064	19160186					
AC006159.4	694986		7	116210079	116213191					
AC007242.1	391864		2	202703438	202707658					
AC012594.1	381876		2	171206926	171209245					
AC018755.1	330583		19	52089926	52098767					
AC018755.16	330583		19	52089926	52098767					
AC026956.1	253171		15	82335167	82338934					
AC078883.3	382540		2	173322334	173335974					
AC078883.4	382523		2	173282693	173294593					
AC079080.1	553577		4	185188446	185189692					
AC092965.1	487024		3	166739867	166750900					
AC093388.3	388276		2	191394777	191401014					
AC093415.2	448456		3	37889807	37904998					
AC096664.3	350835		2	63919848	63925484					
AC097467.2	544352		4	156273862	156277968					
AC098617.1	388741		2	192705523	192718847					
AC104012.1	728184		8	72743513	72744958					
AC105053.4	357421		2	86115619	86116415					
AC105247.1	302835		18	20711775	20717383					
AC107021.1	480240		3	145779886	145782471					
AC107993.1	287675		17	40543687	40554702					
AC116533.1	107092		11	17091057	17100015					
ACTA2-AS1	89664	ENSG00000180139	10	90691239	90696399	0.0752814863111779	0.0347566870360241	3.91654051380542	0.0799933997088407	0.614274003386839
ACTRT2	487	ENSG00000169717	1	2927637	2944794	3.22493745181988e-07	3.75813325042314e-07	3.74375134864461e-07	4.43514058222513e-05	5.77597174641478e-06
ADORA2A	430980	ENSG00000128271	22	24813221	24822908	0.838622422326317	8.97644006002643	5.20770881456925	0.834113619615636	29.1551944717483
ADPGK	250787	ENSG00000159322	15	73072205	73077870	75.8372901784512	15.3416810176188	28.4616834445699	16.0763435809353	99.6658504199628
ADPGK-AS1	250787	ENSG00000260898	15	73072205	73077870	2.67720221275199	0.0215732039391812	0.20417370898513	0.144577996143563	3.71612630250902
AHDC1	6008	ENSG00000126705	1	27928426	27931673	0.505744325531438	2.16901476811147	0.749682846786808	1.25515848646777	0.700598282730489
AHNAK	120801	ENSG00000124942	11	62320337	62328425	165.461762617871	0.522137686071389	43.4172788545268	22.9265092140282	0.992184651956323
AL357060.1	651973		6	138036420	138043943					
AL583828.1	614457		6	13485704	13486770					
ALDH1B1	762364	ENSG00000137124	9	38392152	38397677	1.60818108029303	2.12724781912955	0.766328723889921	4.63971920688116	1.18480372898624e-05
AMD1	643335	ENSG00000123505	6	111192838	111197279	49.6970000932219	48.7923419784575	35.7313602715247	31.2203101273261	118.027637035613
ANKIB1	687868	ENSG00000001629	7	91872667	91876695	11.8907223295677	9.35237237011263	32.5841994738647	8.05955906663008	18.3804459723916
ANKRD6	636679	ENSG00000135299	6	90142099	90143671	3.78025749068015	1.92867140345475	1.36861973894815	0.372574168337497	6.11803054144552
ANXA3	519412	ENSG00000138772	4	79460737	79472750	0.0701391657074483	11.8235508108472	0.0321100485838435	0.588155064125244	167.733662748328
ANXA4	352691	ENSG00000196975	2	69946072	69950526	37.4097452122101	4.94534488687182	0.87299393184584	4.39762159703747	5.11661723033279
APBA2	238046	ENSG00000034053	15	29213517	29214080	0.038381124697494	10.9345048716229	32.6046117197026	1.10305582245267	0.0631664994227949
APOBEC4	45026	ENSG00000173627	1	183617847	183623243	0.000114367673221828	7.60829301711902e-05	0.000790939753690234	7.66990564607897e-05	0.000593106307084066
ARHGAP21	71549	ENSG00000107863	10	25005288	25014938	9.76385545706495	138.213101410707	7.83858820428129	17.4505095474431	1.00307466919436
ARTN	9896	ENSG00000117407	1	44395544	44403674	0.0258848297247327	0.103920236989172	0.0381898690049681	0.0721411147271019	0.0678412083085053
ASAP2	334616	ENSG00000151693	2	9345230	9348145	1.14998716574897	25.3879175508177	0.0392992091846316	0.632034592508518	0.0338700529801084
ASB8	156164	ENSG00000177981	12	48573383	48575169	10.5173788280062	16.8469568908813	14.3514357887003	10.1634083015742	40.7157889481654
ASH1L	36637	ENSG00000116539	1	155313410	155317418	8.3867345526975	12.6330960451812	25.3748554847168	15.4838701816546	55.7853709885654
ASPH	724955	ENSG00000198363	8	62623674	62630513	45.6886345934076	20.9606465789043	8.36816807162555	13.6692508759948	105.142885332329
ATAD2B	338954	ENSG00000119778	2	24148001	24150488	11.1462661901241	16.4179192227816	15.6250436959938	15.5849989936663	31.7309674411154
ATG16L2	122850	ENSG00000168010	11	72524067	72526418	19.3430876166203	9.07149162137714	17.8256778238739	6.25586140239298	1042.01505079633
ATOH8	357396	ENSG00000168874	2	85971407	85980369	0.0516569524982029	0.0030449728540297	0.00296553964558272	0.0168201761582286	0.547581691959864
ATP6V0A1	287684	ENSG00000033627	17	40608759	40616986	30.2811583389025	66.2478740058622	2.52957800443716	32.0708926790643	65.5088961213753
AUH	772928	ENSG00000148090	9	94122554	94124910	6.60412210492862	4.27419896065683	10.9816834298036	7.62768085810147	10.5506942806727
AVPR1A	160282	ENSG00000166148	12	63541941	63545188	0.000924490621825595	5.82254066699065	0.000392509425177971	0.135452649305961	0.000321099420302229
B3GNT2	350382	ENSG00000170340	2	62420926	62431743	34.6078935457829	51.4271738664828	8.56191381910392	18.7575033052763	29.3480874508699
BBX	468522	ENSG00000114439	3	107240736	107246671	8.62034516777337	17.2807536058372	30.3106001770542	11.6742883731576	28.801662032045
BCAT1	149082	ENSG00000060982	12	25101330	25103787	19.9785063951363	86.0010960156687	0.171415386408248	38.4896297800573	1.23677824532145
BMP6	612730	ENSG00000153162	6	7726057	7729965	0.0392905865061024	1.55299766487056	0.0104090515726733	0.624470523087378	4.56747102881083
BMPER	671674	ENSG00000164619	7	33941757	33947758	0.011759599078977	0.0229178325048312	0.0531050231203711	0.0101584322854451	0.0328158837754236
BRCA2	184763	ENSG00000139618	13	32889224	32896768	1.43631227032351	4.61425322690893	0.782667628458478	8.92765576982684	1.62599456140614
BTN1A1	618397	ENSG00000124557	6	26497837	26503134	9.89194488032854e-07	0.00526491667643627	5.8451697891745e-07	2.90965440691013e-05	0.0142800793948875
C11orf49	116364	ENSG00000149179	11	46954157	46962607	4.66909254825407	6.81723097405214	3.91021551796413	4.80870996041894	0.544505602212226
C15orf39	251414	ENSG00000167173	15	75486963	75493861	3.17909166301564	18.8671699857265	1.56166274710671	8.8574494317128	197.161481285522
C1R	143596	ENSG00000159403	12	7242357	7254410	0.210747688266726	0.651726276759399	0.931268545051083	0.0991847356178456	6.03919637178478
C1orf216	7840	ENSG00000142686	1	36183603	36185603	3.49962412889256	7.12393356981563	0.859577054467012	3.24384335879289	0.18766176704976
C20orf62	414318	ENSG00000168746	20	43091375	43094311	0.000422376138312469	0.0011782323649119	0.00067612843467967	0.000146915766658372	0.00163352892555572
C2CD2L	137035	ENSG00000172375	11	118962934	118972931	8.47191684693683	10.3485185466163	4.98410446910908	3.96538856351074	9.53016152233912
C3orf72	477941	ENSG00000206262	3	138663575	138667892	0.000387269657603954	0.015398990975312	0.000941781269966381	0.000212836530073235	0.00109379742391975
CABLES1	302835	ENSG00000134508	18	20711775	20717383	0.664430913777554	5.81146897116073	0.066126711401012	4.37046254327204	0.0573235326308466
CACYBP	42451	ENSG00000116161	1	174965882	174969671	34.9874162061154	57.6215544674465	20.3549930835191	48.0320669181137	12.8779239476273
CADM3	37614	ENSG00000162706	1	159135977	159142424	0.0015623419743171	0.00874144335410188	0.00126614458219195	0.10825224737432	0.00555267504915244
CAV1	694974	ENSG00000105974	7	116164207	116169246	0.0370331809945337	1.38869488424787	0.165805627503867	0.208907720892039	0.0232331090120884
