baitName	baitID	ENSEMBL_GENEID	baitChr	baitStart	baitEnd	MacMon	MK	nCD4	Ery	Neu
ABT1	618422	ENSG00000146109	6	26593067	26601342	7.36795861510342	7.9495875001027	12.27623147113	6.79348353234769	10.4260191541257
AC007038.7	394370		2	210893932	210895712					
AC009506.1	378381		2	160470703	160474295					
AC009542.2	700651		7	134878946	134885205					
AC009677.1	249922		15	70017141	70023265					
AC012363.4	366091		2	120972997	120976985					
AC013283.1	171846		12	98997010	99001205					
AC016910.1	373216		2	144693938	144696604					
AC019131.1	526103		4	99846712	99851952					
AC020907.2	327596		19	35628459	35653696					
AC022431.2	572142		5	55901742	55902125					
AC025678.1	239610		15	34647373	34668157					
AC062017.1	402899		2	240319726	240332218					
AC079305.10	383979		2	178125221	178130928					
AC090952.5	441041		3	14689831	14693040					
AC091697.1	666794		7	18336829	18339704					
AC091814.3	144428		12	10103061	10120148					
AC092964.1	488729		3	172028675	172038648					
AC097461.4	398350		2	223777367	223787348					
AC097658.1	540553		4	144253937	144262101					
AC112198.2	571624		5	54146426	54152522					
AC144652.1	706307		7	155088026	155094160					
ACAT2	658650	ENSG00000120437	6	160181052	160182218	61.4241733150584	73.3038677751673	6.75461680478553	40.0856673868832	2.30041909946486
ACBD7	68596	ENSG00000176244	10	15129208	15136019	0.000444170237493931	0.156124274188574	0.0846209943629703	0.127328979587255	0.0048393055597688
ACOT13	617826	ENSG00000112304	6	24666035	24674164	34.4049771205349	20.5275257950042	4.65143717696608	15.0182157647198	10.648315028493
ACSL3	398337	ENSG00000123983	2	223725185	223727564	31.8629008027891	21.2151745694685	12.1176884700903	24.0419170015476	36.6604607016703
AF129075.5	424564		21	30431527	30435396					
AFTPH	351123	ENSG00000119844	2	64750059	64756237	25.8866057414119	29.349828623887	17.1612252351754	14.4871760628722	66.4130182284369
AHCTF1	63845	ENSG00000153207	1	247094208	247098686	13.7912686044394	27.0128687782712	25.6458045301447	16.6004341502273	220.098985804571
AL121914.1	417414		20	55029819	55036740					
AL359218.1	210598		14	20498622	20507674					
AL513123.1	644110		6	113833688	113837452					
AP1AR	530441	ENSG00000138660	4	113151073	113162362	9.4487227248924	4.28271308533286	5.58736328796559	3.3234847257248	1.64893502112014
APBB1IP	72066	ENSG00000077420	10	26724823	26730119	9.70170106490421	0.9927107370288	18.5474996861877	1.8407504627314	234.042252746787
ARHGAP22	77631	ENSG00000128805	10	49856677	49869397	7.27141295269219	0.616450700621375	0.227557401566782	0.818842516346978	0.74772688791359
ARPC4	439883	ENSG00000241553	3	9832737	9843594	187.485761585589	158.491881926114	51.0296196792301	58.3409266921173	350.61001012598
ARPC4-TTLL3	439883	ENSG00000250151	3	9832737	9843594	3.98907268136879	4.54644999342781	1.3715788268504	1.15644697101773	7.37961645468054
ASAP1	746612	ENSG00000153317	8	131169792	131176916	27.7159918852648	17.250653736727	6.49969330642938	21.1018106299982	224.692566087841
ASPRV1	352764	ENSG00000244617	2	70182638	70194908	0.164332880163234	0.490458165657826	0.690849359334761	0.126092293591107	36.7458741770645
ATP2B1	169013	ENSG00000070961	12	90100351	90108031	32.1963618413152	6.54798066835715	22.8752088725918	25.8879820796225	225.652120492927
BACH1-AS1	424679	ENSG00000232118	21	30741895	30749173	3.78825783799108e-06	3.90557075178043e-06	5.60384545306728e-06	3.32212422991425e-06	1.24819328196081e-05
BACH1-IT2	424679	ENSG00000228817	21	30741895	30749173	0.713223280479203	0.4382104697578	0.319401488523534	0.549635333118479	15.8396899005393
BAZ2B	378381	ENSG00000123636	2	160470703	160474295	20.4418902215066	6.12997113139951	9.33129441551944	13.8026257892786	442.625081660209
BCKDHB	633718	ENSG00000083123	6	80815905	80836516	2.50346964212013	5.5745599075133	7.48496425390026	3.24907015304086	0.135326886222353
BCL2A1	252639	ENSG00000140379	15	80256992	80274822	348.321422753687	0.278496916137003	9.24589798571057	0.286407072031999	722.098579554309
BLACE	706328	ENSG00000204960	7	155157827	155165727	6.94656154631541e-06	1.67139012692499e-07	2.65885824681322e-06	1.43553772404028e-07	7.2144185723369e-07
BRPF1	439875	ENSG00000156983	3	9772248	9777628	12.7346450705466	5.7433540783031	6.20429157529568	6.94706208518499	18.054311553674
C10orf111	68597	ENSG00000176236	10	15136020	15146046	0.0192714309745009	0.019245462516543	0.174460965139679	0.0288958829828859	0.0276006632291581
C12orf77	149090	ENSG00000226397	12	25149997	25151153	0.000567189814664793	0.000432572783821043	0.000532714455651729	0.000447018243335983	0.00332051470479281
C1orf74	52890	ENSG00000162757	1	209955276	209959693	1.13866834348456	1.06865684390678	0.320489261758029	1.42359711578185	1.43250441562915
C4orf21	530562	ENSG00000138658	4	113545277	113563952	1.95417970163425	9.74732973214986	5.39918621972096	18.6329934114351	1.96215195898855
C4orf33	535957	ENSG00000151470	4	130011978	130015323	7.619397884248	16.4912517039534	3.49609800952738	8.38998597335404	14.1826012896076
C5orf51	568160	ENSG00000205765	5	41901764	41912323	6.07785810628907	8.92949676985328	4.14327377461943	9.62649168714922	5.40517567062172
C6orf62	617838	ENSG00000112308	6	24718538	24721886	51.7657933443254	57.8644596923571	39.2671186133962	34.5757942348296	122.851807166436
C9orf66	750561	ENSG00000183784	9	213121	216975	0.277671571173398	0.0838035458235178	8.10694052824631e-06	0.0593231209287131	1.79640752663391
CAMK1D	67868	ENSG00000183049	10	12385400	12395980	2.83891441851001	2.52605056246856	4.97193943401899	6.10091554126252	57.3996846385488
CAMK1G	52826	ENSG00000008118	1	209756686	209758171	0.00957850491481839	0.00249941986977526	0.00117508915480131	0.000808951857482041	0.0071052002486102
CCDC147	94009	ENSG00000120051	10	106106700	106114042	0.356410871922918	0.573491234857339	0.00384625624435418	0.631499801608142	7.47029205117101
CCDC147-AS1	94009	ENSG00000231233	10	106106700	106114042	2.37455412280321	0.00280152894384532	7.72921109734419e-06	1.08234052459208	15.85343113144
CD9	143427	ENSG00000010278	12	6305102	6318727	113.259831276457	178.932750647039	0.693333610401207	9.05646483094205	3.19195846202028
CDC73	48123	ENSG00000134371	1	193078996	193092305	9.68340368535435	10.0949642177545	9.87534495335269	8.81102562034636	28.7416936566476
CEBPB	415669	ENSG00000172216	20	48799088	48815510	50.0648146953894	3.26869244340698	2.20104003571298	20.8122935599213	314.408050565426
CENPN	276734	ENSG00000166451	16	81036170	81050910	4.29915653480115	17.6528405341112	0.954286278429937	34.1461160897544	0.924729338983654
CEP170	62810	ENSG00000143702	1	243417103	243427310	32.3428296995517	25.8531738747963	14.9388095155489	14.8612751817856	50.2500562504928
CHRAC1	749718	ENSG00000104472	8	141517849	141527004	7.09244889442166	11.3342982709018	6.86900142140517	11.1817037485107	11.7533055389965
CHST15	99996	ENSG00000182022	10	125849674	125861784	10.3376040597549	0.250538345883583	0.118997742357315	0.0154752833352993	333.59728217508
CISD2	527343	ENSG00000145354	4	103788991	103800652	11.6871520907928	19.8532960367542	4.10253465880506	24.3090533948246	2.27887479277508
CLCA1	22884	ENSG00000016490	1	86927687	86935966	0.000156859354617749	0.000136512192344077	0.000178212079712397	0.00011528351089683	0.000578001526706673
CLEC12A	144428	ENSG00000172322	12	10103061	10120148	11.7669419594355	0.14404013646481	0.050909982345945	2.94448476297675	30.5025267210209
CMC2	276734	ENSG00000103121	16	81036170	81050910	19.8892868525442	21.4253194360626	10.55287930047	22.7626002370502	4.71686161491617
CNOT8	602814	ENSG00000155508	5	154222767	154244266	27.0196701960816	28.2024834745695	33.8636186577311	28.5754754624598	70.8445032805876
COPS8P3	124295	ENSG00000254697	11	78290196	78293224	3.93299288542025e-06	3.42559611762395e-05	0.000224884750309184	1.26276581509174e-06	3.55870427185013e-06
CPPED1	261548	ENSG00000103381	16	12891677	12905517	26.3934156271783	3.73607915487505	0.852901045928317	8.1978657716911	441.7356677207
CPQ	736007	ENSG00000104324	8	97655976	97662338	29.6379514033997	6.59465874640774	9.33712829742733	7.50852355052566	276.621130274929
CTA-204B4.2	749718		8	141517849	141527004					
CTB-193M12.1	262334		16	15698600	15704070					
CTD-2001C12.1	586153		5	99870701	99873835					
CTD-2020K17.3	288181		17	43306627	43324157					
CTD-2033C11.1	575217		5	65217559	65224644					
CTD-2061E19.1	583200		5	90642268	90654292					
CTD-2061E19.6	583200		5	90642268	90654292					
CTD-2288O8.1	570984		5	52083391	52084975					
CTD-2527I21.4	327596		19	35628459	35653696					
CXCL1	517843	ENSG00000163739	4	74730417	74735646	0.531670129052727	24.3551511625863	0.000261882073195248	1.59060086704863	159.490526183824
CXCR6	450810	ENSG00000172215	3	45977260	45983363	0.00529696647988321	0.00163728380586129	0.143930010919929	0.00749659657561745	0.00435237307593256
DCLRE1CP1	68596	ENSG00000237470	10	15129208	15136019	0.00210686244929753	0.000146221208021939	0.000163323320929574	0.000120205094726288	0.00243911212086276
DCPS	139091	ENSG00000110063	11	126167458	126186131	4.37423806801878	2.88314979078353	3.57197527880187	4.08464102734874	1.0838463528583
DENND3	749848	ENSG00000105339	8	142123526	142129764	11.4600442322117	47.0117094167456	1.78738001196969	4.04042081488435	1169.59699939352
DEPDC4	172382	ENSG00000166153	12	100657407	100661804	0.232445824111001	3.3666899147971	0.406744112354727	1.06010064173357	0.134009189224904
DIEXF	52906	ENSG00000117597	1	210000236	210003562	4.26792063390896	1.93560584152738	7.28711333904655	3.60623340181955	0.157222603781851
DNAJC3	204853	ENSG00000102580	13	96327541	96330860	44.3764047803652	30.0830946329274	8.85071938504609	12.8424212152203	100.934919934075
DNAJC3-AS1	204853	ENSG00000247400	13	96327541	96330860	0.636283099922646	1.53257711485591	0.327086126871052	0.606897933380949	4.25933825583258
DOCK4	693565	ENSG00000128512	7	111841522	111849511	6.49295099759631	0.181479975450642	0.200984621693449	1.48929648188879	74.2198523557035
DOCK5	714592	ENSG00000147459	8	25035857	25046527	13.8826691386985	14.3333172826142	0.109025742180997	4.45438430686794	480.929282650266
DOCK8	750561	ENSG00000107099	9	213121	216975	35.9705548194817	8.44228810094341	48.4206435376583	7.90925702383007	417.240029433604
DUSP22	610557	ENSG00000112679	6	290446	297152	12.4861373316269	25.8238041287932	10.982410990431	7.61213625004196	43.4784734358523
DZIP1	204848	ENSG00000134874	13	96294884	96306042	0.00546447875799927	0.396601098624629	0.00882830265330316	0.0277403803941292	0.0308892104123602
EAPP	214976	ENSG00000129518	14	35007955	35023713	15.091216778949	14.2761937015934	30.4128051621532	15.7206297817151	78.0095820821349
EEF1B2	393109	ENSG00000114942	2	207023009	207026087	153.576360260777	199.740703031219	661.21314228416	291.41076885321	17.3827334076242
EIF4E	526103	ENSG00000151247	4	99846712	99851952	41.1283598536267	63.3051514406174	19.612213151693	39.8881325028689	16.5695617160173
ELOVL5	625710	ENSG00000012660	6	53210207	53227644	62.029778677259	48.9161059463051	25.5996516036928	44.8841106322856	337.34734434043
EMB	570196	ENSG00000170571	5	49738976	49741707	39.3773024746754	7.64536850674564	80.1131485398951	6.98513170998066	110.729810564691
EPHA1	702958	ENSG00000146904	7	143104197	143112096	0.100540136570397	0.494816994529859	7.52601919125609	0.119693478331171	0.187999593853962
EPHA1-AS1	702958	ENSG00000229153	7	143104197	143112096	0.370822584322114	0.89675376914707	5.35812977790262	0.161769604357845	2.5259262083042
ERBB2IP	575217	ENSG00000112851	5	65217559	65224644	38.8147637041963	54.3256617403711	64.5771086135413	29.9892459375532	205.011767644963
EXOC8	59244	ENSG00000116903	1	231471476	231473844	6.10113348410301	5.82655960642553	10.5369564774831	6.25686242029666	37.9124217560278
F5	40704	ENSG00000198734	1	169547926	169559316	0.064554608991911	0.0863068226960395	1.72774396700608	0.0107461132131898	44.0866031152196
FABP1	357996	ENSG00000163586	2	88422706	88430034	0.00172482179664569	0.00143599595368794	0.0014462030289036	0.0011319639439402	0.00531024712598759
FAM101B	278770	ENSG00000183688	17	294770	415316	10.460084274375	17.6927220936846	24.8658404510906	7.57356465269854	95.3350358574701
FAM131B	702946	ENSG00000159784	7	143056475	143062086	1.1321089377049	0.180791660171233	0.0137559164817213	0.0160832623820884	0.174157952359435
FAM174A	586153	ENSG00000174132	5	99870701	99873835	4.89739514092546	3.38039772899964	1.55586298686036	1.45884692844892	50.7098533455225
FAM26E	645091	ENSG00000178033	6	116831009	116833552	1.79126433446398e-05	0.618403600489551	0.000391485821965051	0.0345022357964179	0.000306581946396913
FAM49A	336739	ENSG00000197872	2	16840881	16848121	3.815841366486	0.0600442617558688	0.121876062367834	2.01380979544762	102.118855063916
FAM65B	617935	ENSG00000111913	6	25039374	25043364	1.74537213920266	12.8272700054986	225.205595365431	1.70327752129668	1128.57246664171
FAXDC2	602814	ENSG00000170271	5	154222767	154244266	0.548749357974226	49.7090349941391	0.227323768932143	63.2173537838463	0.227503378354498
FFAR3	327633	ENSG00000185897	19	35845612	35854580	0.00251916304709151	5.52355774765064e-05	0.000656831850310096	0.0479958297838627	4.12596213641166
